term_lower	term	confidence	origin	defined_in
``ontological"	``ontological"	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
``sheaves in geometry and logic - a
first introduction to topos theory''	``Sheaves in Geometry and Logic - A
first Introduction to Topos Theory''	medium	planetmath	QuantumGroupoids
``supercategories''	``Supercategories''	medium	planetmath	NsupercategoryTheory
``th$\'e$orie structurelle des automats finis."	``Th$\'e$orie structurelle des automats finis."	medium	planetmath	MVLogicsInTheCategoryOfAutomata
`analogous'	`analogous'	medium	planetmath	FundamentalComplexityDiagrams
`analytical'	`analytical'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`categorial'	`categorial'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`categorical'	`categorical'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`category' of categories	`category' of categories	medium	planetmath	WilliamFrancisLawvere
`do not
commute	`do not
commute	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`dynamic configuration' functors	`dynamic configuration' functors	medium	planetmath	OrganismicSupercategoriesAndSupercomplexSystemsBiodynamics
`groupoid	`groupoid	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`higher dimensional algebra'	`Higher Dimensional Algebra'	medium	planetmath	HigherDimensionalAlgebra
`internal' symmetry	`internal' symmetry	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`items	`items	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`logical groupoid'	`logical groupoid'	medium	planetmath	MVLogicsInTheCategoryOfAutomata
`meta-theory'	`meta-theory'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
`morphisms'	`morphisms'	medium	planetmath	ACATEGORYTHEORYANDHIGHERDIMENSIONALALGEBRAAPPROACHTOCOMPLEXSYSTEMSBIOLOGYMETASYSTEMSANDONTOLOGICALTHEORYOFLEVELS
