term_lower	term	source	canon_or_count
 $\eta (1) =\ln 2$	 $\eta (1) =\ln 2$	pm-title	eta1ln2
 $\omega$-groupoid	 $\omega$-groupoid	pm-title	omegagroupoid
 division factorial	 Division Factorial	pm-title	DivisionFactorial
 hilbert spaces are uniformly convex spaces	 Hilbert spaces are uniformly convex spaces	pm-title	HilbertSpacesAreUniformlyConvexSpaces
 mv-logics in the category of automata 	 MV-Logics in the Category of Automata 	pm-title	MVLogicsInTheCategoryOfAutomata
"fusion" of theoretical physics with mathematics at ihes org	"Fusion" of theoretical physics with mathematics at IHES org	pm-title	FusionOfTheoreticalPhysicsWithMathematicsAtIHESOrg
"hyper-k\"ahler manifold"	"hyper-K\"ahler manifold"	pm-synonym	HyperkahlerManifold
"hyper-k\"ahlerian manifold"	"hyper-K\"ahlerian manifold"	pm-synonym	HyperkahlerManifold
"hypercomplex manifold"	"hypercomplex manifold"	pm-defines	HyperkahlerManifold
"hyperk\"ahler manifold"	"hyperk\"ahler manifold"	pm-defines	HyperkahlerManifold
(closed) walk / trek / trail / path	(closed) walk / trek / trail / path	pm-title	closedWalkTrekTrailPath
(linear) sequence of morphisms	(linear) sequence of morphisms	pm-defines	CategoricalSequence
(m-1) arrows	(m-1) arrows	pm-defines	2groupoid
(n-1)-supercategory	(n-1)-supercategory	pm-defines	Ncategory
(partial) linear space	(partial) linear space	pm-title	partialLinearSpace
(partial) tilting module	(partial) tilting module	pm-title	partialTiltingModule
(path) connectness as a homotopy invariant	(path) connectness as a homotopy invariant	pm-title	pathConnectnessAsAHomotopyInvariant
(special) unitary lie algebra	(special) unitary Lie algebra	pm-title	specialUnitaryLieAlgebra
*-algebra	*-algebra	pm-defines	Topologicalalgebra
*-convolution	*-convolution	pm-defines	CategoryOfCalgebras
*-homomorphism	*-homomorphism	pm-defines	InvolutoryRing
*-semigroup	*-semigroup	pm-synonym	SemigroupWithInvolution
-arity	-arity	pm-synonym	Arity
-ca	-CA	pm-synonym	ComprehensionAxiom
-ind	-IND	pm-synonym	InductionAxiom
-tuple	-tuple	pm-synonym	OrderedTuplet
-tuplet	-tuplet	pm-synonym	OrderedTuplet
-tuplets	-tuplets	pm-synonym	OrderedTuplet
0-cell	0-cell	pm-defines	2category
0-meridian	0-meridian	pm-defines	SurfaceOfRevolution
0/0 is possible and has an answer	0/0 is possible and has an answer	pm-title	00IsPossibleAndHasAnAnswer
1 to 1 correspondence	1 to 1 correspondence	pm-synonym	Bijection
1-1 correspondence	1-1 correspondence	pm-synonym	Bijection
1-4-2 problem	1-4-2 Problem	pm-synonym	CollatzProblem
1-form	1-form	pm-defines	DifferentialForm
1-parameter subgroup	1-parameter subgroup	pm-synonym	OneparameterSubgroup
1. introduction	1. Introduction	pm-title	1Introduction
1.1 type theory versus set theory	1.1 Type theory versus set theory	pm-title	11TypeTheoryVersusSetTheory
1.10 pattern matching and recursion	1.10 Pattern matching and recursion	pm-title	110PatternMatchingAndRecursion
1.11 propositions as types	1.11 Propositions as types	pm-title	111PropositionsAsTypes
1.12 identity types	1.12 Identity types	pm-title	112IdentityTypes
1.12.1 path induction	1.12.1 Path Induction	pm-title	1121PathInduction
1.12.2 equivalence of path induction and based path induction	1.12.2 Equivalence of path induction and based path induction	pm-title	1122EquivalenceOfPathInductionAndBasedPathInduction
1.12.3 disequality	1.12.3 Disequality	pm-title	1123Disequality
1.2 function types	1.2 Function types	pm-title	12FunctionTypes
1.3 universes and families	1.3 Universes and Families	pm-title	13UniversesAndFamilies
1.4 dependent function types	1.4 Dependent function types	pm-title	14DependentFunctionTypes
1.5 product types	1.5 Product types	pm-title	15ProductTypes
1.6 dependent pair types	1.6 Dependent pair types	pm-title	16DependentPairTypes
1.7 coproduct types	1.7 Coproduct types	pm-title	17CoproductTypes
1.8 the type of booleans	1.8 The type of booleans	pm-title	18TheTypeOfBooleans
1.9 the natural numbers	1.9 The natural numbers	pm-title	19TheNaturalNumbers
10. set theory	10. Set theory	pm-title	10SetTheory
10.1 the category of sets	10.1 The category of sets	pm-title	101TheCategoryOfSets
10.1.1 limits and colimits	10.1.1 Limits and colimits	pm-title	1011LimitsAndColimits
10.1.2 images	10.1.2 Images	pm-title	1012Images
10.1.3 quotients	10.1.3 Quotients	pm-title	1013Quotients
10.1.4 set is a $\pi\mathsf{w	10.1.4 Set is a $\Pi\mathsf{W	pm-title	1014SetIsAPimathsfWpretopos
10.1.5 the axiom of choice implies excluded middle	10.1.5 The axiom of choice implies excluded middle	pm-title	1015TheAxiomOfChoiceImpliesExcludedMiddle
10.2 cardinal numbers	10.2 Cardinal numbers	pm-title	102CardinalNumbers
10.3 ordinal numbers	10.3 Ordinal numbers	pm-title	103OrdinalNumbers
10.4 classical well-orderings	10.4 Classical well-orderings	pm-title	104ClassicalWellorderings
10.5 the cumulative hierarchy	10.5 The cumulative hierarchy	pm-title	105TheCumulativeHierarchy
11. real numbers	11. Real numbers	pm-title	11RealNumbers
11.1 the field of rational numbers	11.1 The field of rational numbers	pm-title	111TheFieldOfRationalNumbers
11.2 dedekind reals	11.2 Dedekind reals	pm-title	112DedekindReals
11.2.1 the algebraic structure of dedekind reals	11.2.1 The algebraic structure of Dedekind reals	pm-title	1121TheAlgebraicStructureOfDedekindReals
11.2.2 dedekind reals are cauchy complete	11.2.2 Dedekind reals are Cauchy complete	pm-title	1122DedekindRealsAreCauchyComplete
11.2.3 dedekind reals are dedekind complete	11.2.3 Dedekind reals are Dedekind complete	pm-title	1123DedekindRealsAreDedekindComplete
11.3 cauchy reals	11.3 Cauchy reals	pm-title	113CauchyReals
11.3.1 construction of cauchy reals	11.3.1 Construction of Cauchy reals	pm-title	1131ConstructionOfCauchyReals
11.3.2 induction and recursion on cauchy reals	11.3.2 Induction and recursion on Cauchy reals	pm-title	1132InductionAndRecursionOnCauchyReals
11.3.3 the algebraic structure of cauchy reals	11.3.3 The algebraic structure of Cauchy reals	pm-title	1133TheAlgebraicStructureOfCauchyReals
11.3.4 cauchy reals are cauchy complete	11.3.4 Cauchy reals are Cauchy complete	pm-title	1134CauchyRealsAreCauchyComplete
11.4 comparison of cauchy and dedekind reals	11.4 Comparison of Cauchy and Dedekind reals	pm-title	114ComparisonOfCauchyAndDedekindReals
11.5 compactness of the interval	11.5 Compactness of the interval	pm-title	115CompactnessOfTheInterval
11.6 the surreal numbers	11.6 The surreal numbers	pm-title	116TheSurrealNumbers
15 puzzle	15 Puzzle	pm-title	15Puzzle
196's reverse and add sequence to 1000 terms	196's reverse and add sequence to 1000 terms	pm-title	196sReverseAndAddSequenceTo1000Terms
1\rbrace$-lattice homomorphism	1\rbrace$-lattice homomorphism	pm-defines	LatticeHomomorphism
1l-system	1L-system	pm-defines	LindenmayerSystem
1pi effective action	1pi effective action	se-tag	88
1st quadrant	1st quadrant	pm-defines	Quadrant
2-3 tree	2-3 tree	pm-title	23Tree
2-adic fractional number	2-adic fractional number	pm-defines	PadicCanonicalForm
2-adic integer	2-adic integer	pm-defines	PadicCanonicalForm
2-adic valuation	2-adic valuation	pm-defines	PadicCanonicalForm
2-almost prime	2-almost prime	pm-synonym	Semiprime
2-c*-category	2-C*-category	pm-title	2Ccategory
2-categorical composition	2-categorical composition	pm-defines	2category
2-category	2-category	pm-title	2category
2-category of double groupoids	2-category of double groupoids	pm-title	2categoryOfDoubleGroupoids
2-category of groupoids	2-category of groupoids	pm-synonym	GroupoidCategory
2-category of lie groupoids	2-category of Lie groupoids	pm-defines	GroupoidCategory
2-category with invertible morphisms	2-category with invertible morphisms	pm-synonym	2groupoid
2-groupoid	2-groupoid	pm-defines	2groupoid
2-groupoid 	2-groupoid 	pm-title	2groupoid
2-morphism	2-morphism	pm-defines	2category
2-sided ideal	2-sided ideal	pm-defines	Ideal
2. homotopy type theory	2. Homotopy Type Theory	pm-title	2HomotopyTypeTheory
2. stochastic maps	2. Stochastic maps	pm-title	2StochasticMaps
2.1 types are higher groupoids	2.1 Types are higher groupoids	pm-title	21TypesAreHigherGroupoids
2.10 universes and the univalence axiom	2.10 Universes and the univalence axiom	pm-title	210UniversesAndTheUnivalenceAxiom
2.11 identity type	2.11 Identity type	pm-title	211IdentityType
2.12 coproducts	2.12 Coproducts	pm-title	212Coproducts
2.13 natural numbers	2.13 Natural numbers	pm-title	213NaturalNumbers
2.14 example: equality of structures	2.14 Example: equality of structures	pm-title	214ExampleEqualityOfStructures
2.14.1 lifting equivalences	2.14.1 Lifting equivalences	pm-title	2141LiftingEquivalences
2.14.2 equality of semigroups	2.14.2 Equality of semigroups	pm-title	2142EqualityOfSemigroups
2.15 universal properties	2.15 Universal properties	pm-title	215UniversalProperties
2.2 functions are functors	2.2 Functions are functors	pm-title	22FunctionsAreFunctors
2.3 type families are fibrations	2.3 Type families are fibrations	pm-title	23TypeFamiliesAreFibrations
2.4 homotopies and equivalences	2.4 Homotopies and Equivalences	pm-title	24HomotopiesAndEquivalences
2.5 the higher groupoid structure of type formers	2.5 The higher groupoid structure of type formers	pm-title	25TheHigherGroupoidStructureOfTypeFormers
2.6 cartesian product types	2.6 Cartesian product types	pm-title	26CartesianProductTypes
2.7 $\sigma$-types	2.7 $\Sigma$-types	pm-title	27Sigmatypes
2.8 the unit type	2.8 The unit type	pm-title	28TheUnitType
2.9 $\pi$-types and the function extensionality axiom	2.9 $\Pi$-types and the function extensionality axiom	pm-title	29PitypesAndTheFunctionExtensionalityAxiom
2d-ft	2D-FT	pm-defines	TwodimensionalFourierTransforms
2d-ft imaging	2D-FT imaging	pm-synonym	TwodimensionalFourierTransforms
2d-ft nmr	2D-FT NMR	pm-defines	TwodimensionalFourierTransforms
2d-ft nmri	2D-FT NMRI	pm-defines	TwodimensionalFourierTransforms
2l-system	2L-system	pm-defines	LindenmayerSystem
2nd quadrant	2nd quadrant	pm-defines	Quadrant
3 sides equal trapezium	3 sides equal trapezium	pm-defines	IsoscelesTrapezoid
3 sides equal trapezoid	3 sides equal trapezoid	pm-defines	IsoscelesTrapezoid
3-manifold	3-manifold	pm-title	3manifold
3-sides-equal trapezium	3-sides-equal trapezium	pm-defines	IsoscelesTrapezoid
3-sides-equal trapezoid	3-sides-equal trapezoid	pm-defines	IsoscelesTrapezoid
3. distributed dynamical systems	3. Distributed dynamical systems	pm-title	3DistributedDynamicalSystems
3.1 sets and n-types	3.1 Sets and n-types	pm-title	31SetsAndNtypes
3.10 when are propositions truncated?	3.10 When are propositions truncated?	pm-title	310WhenArePropositionsTruncated
3.11 contractibility	3.11 Contractibility	pm-title	311Contractibility
3.2 propositions as types?	3.2 Propositions as types?	pm-title	32PropositionsAsTypes
3.3 mere propositions	3.3 Mere propositions	pm-title	33MerePropositions
3.4 classical vs. intuitionistic logic	3.4 Classical vs. intuitionistic logic	pm-title	34ClassicalVsIntuitionisticLogic
3.5 subsets and propositional resizing	3.5 Subsets and propositional resizing	pm-title	35SubsetsAndPropositionalResizing
3.6 the logic of mere propositions	3.6 The logic of mere propositions	pm-title	36TheLogicOfMerePropositions
3.7 propositional truncation	3.7 Propositional truncation	pm-title	37PropositionalTruncation
3.8 the axiom of choice	3.8 The axiom of choice	pm-title	38TheAxiomOfChoice
3.9 the principle of unique choice	3.9 The principle of unique choice	pm-title	39ThePrincipleOfUniqueChoice
3n+1 problem	3n+1 problem	pm-synonym	CollatzProblem
3rd quadrant	3rd quadrant	pm-defines	Quadrant
4 exponentials	4 exponentials	pm-synonym	FourExponentialsConjecture
4 surface bundles	4 surface bundles	pm-title	4SurfaceBundles
4-color conjecture	4-color conjecture	pm-synonym	FourcolorConjecture
4. equivalences	4. Equivalences	pm-title	4Equivalences
4. measurement	4. Measurement	pm-title	4Measurement
4.1 quasi-inverses	4.1 Quasi-inverses	pm-title	41Quasiinverses
4.2 half adjoint equivalences	4.2 Half adjoint equivalences	pm-title	42HalfAdjointEquivalences
4.3 bi-invertible maps	4.3 Bi-invertible maps	pm-title	43BiinvertibleMaps
4.4 contractible fibers	4.4 Contractible fibers	pm-title	44ContractibleFibers
4.5 on the definition of equivalences	4.5 On the definition of equivalences	pm-title	45OnTheDefinitionOfEquivalences
4.6 surjections and embeddings	4.6 Surjections and embeddings	pm-title	46SurjectionsAndEmbeddings
4.7 closure properties of equivalences	4.7 Closure properties of equivalences	pm-title	47ClosurePropertiesOfEquivalences
4.8 the object classifier	4.8 The object classifier	pm-title	48TheObjectClassifier
4.9 univalence implies function extensionality	4.9 Univalence implies function extensionality	pm-title	49UnivalenceImpliesFunctionExtensionality
4th quadrant	4th quadrant	pm-defines	Quadrant
5 lemma	5 lemma	pm-synonym	5lemma
5-lemma	5-lemma	pm-synonym	5lemma
5. entanglement	5. Entanglement	pm-title	5Entanglement
5. induction	5. Induction	pm-title	5Induction
5.1 introduction to inductive types	5.1 Introduction to inductive types	pm-title	51IntroductionToInductiveTypes
5.2 uniqueness of inductive types	5.2 Uniqueness of inductive types	pm-title	52UniquenessOfInductiveTypes
5.3 w-types	5.3 W-types	pm-title	53Wtypes
5.4 inductive types are initial algebras	5.4 Inductive types are initial algebras	pm-title	54InductiveTypesAreInitialAlgebras
5.5 homotopy-inductive types	5.5 Homotopy-inductive types	pm-title	55HomotopyinductiveTypes
5.6 the general syntax of inductive definitions	5.6 The general syntax of inductive definitions	pm-title	56TheGeneralSyntaxOfInductiveDefinitions
5.7 generalizations of inductive types	5.7 Generalizations of inductive types	pm-title	57GeneralizationsOfInductiveTypes
5.8 identity types and identity systems	5.8 Identity types and identity systems	pm-title	58IdentityTypesAndIdentitySystems
6 exponentials	6 exponentials	pm-synonym	SixExponentialsTheorem
6. discussion	6. Discussion	pm-title	6Discussion
6.1 introduction	6.1 Introduction	pm-title	61Introduction
6.10 quotients	6.10 Quotients	pm-title	610Quotients
6.11 algebra	6.11 Algebra	pm-title	611Algebra
6.12 the flattening lemma	6.12 The flattening lemma	pm-title	612TheFlatteningLemma
6.13 the general syntax of higher inductive definitions	6.13 The general syntax of higher inductive definitions	pm-title	613TheGeneralSyntaxOfHigherInductiveDefinitions
6.2 induction principles and dependent paths	6.2 Induction principles and dependent paths	pm-title	62InductionPrinciplesAndDependentPaths
6.3 the interval	6.3 The interval	pm-title	63TheInterval
6.4 circles and spheres	6.4 Circles and spheres	pm-title	64CirclesAndSpheres
6.5 suspensions	6.5 Suspensions	pm-title	65Suspensions
6.6 cell complexes	6.6 Cell complexes	pm-title	66CellComplexes
6.7 hubs and spokes	6.7 Hubs and spokes	pm-title	67HubsAndSpokes
6.8 pushouts	6.8 Pushouts	pm-title	68Pushouts
6.9 truncations	6.9 Truncations	pm-title	69Truncations
6j-representation in 3d	6j-representation in 3D	pm-synonym	6jrepresentationIn3DInGrafix
6j-representation in 3d in grafix	6j-representation in 3D in grafix	pm-title	6jrepresentationIn3DInGrafix
7. homotopy n-types	7. Homotopy n-types	pm-title	7HomotopyNtypes
7.1 definition of n-types	7.1 Definition of n-types	pm-title	71DefinitionOfNtypes
7.2 uniqueness of identity proofs and hedberg’s theorem	7.2 Uniqueness of identity proofs and Hedberg’s theorem	pm-title	72UniquenessOfIdentityProofsAndHedbergsTheorem
7.3 truncations	7.3 Truncations	pm-title	73Truncations
7.4 colimits of n-types	7.4 Colimits of n-types	pm-title	74ColimitsOfNtypes
7.5 connectedness	7.5 Connectedness	pm-title	75Connectedness
7.6 orthogonal factorization	7.6 Orthogonal factorization	pm-title	76OrthogonalFactorization
7.7 modalities	7.7 Modalities	pm-title	77Modalities
8. homotopy theory	8. Homotopy theory	pm-title	8HomotopyTheory
8.1 $\pi_1 (s_1)$	8.1 $\pi_1 (S_1)$	pm-title	81pi1S1
8.1.1 getting started	8.1.1 Getting started	pm-title	811GettingStarted
8.1.2 the classical proof	8.1.2 The classical proof	pm-title	812TheClassicalProof
8.1.3 the universal cover in type theory	8.1.3 The universal cover in type theory	pm-title	813TheUniversalCoverInTypeTheory
8.1.4 the encode-decode proof	8.1.4 The encode-decode proof	pm-title	814TheEncodedecodeProof
8.1.5 the homotopy-theoretic proof	8.1.5 The homotopy-theoretic proof	pm-title	815TheHomotopytheoreticProof
8.1.6 the universal cover as an identity system	8.1.6 The universal cover as an identity system	pm-title	816TheUniversalCoverAsAnIdentitySystem
8.10 additional results	8.10 Additional Results	pm-title	810AdditionalResults
8.2 connectedness of suspensions	8.2 Connectedness of suspensions	pm-title	82ConnectednessOfSuspensions
8.3 $\pi_{k \le n	8.3 $\pi_{k \le n	pm-title	83pikleNOfAnNconnectedSpaceAndpikNSn
8.4 fiber sequences and the long exact sequence	8.4 Fiber sequences and the long exact sequence	pm-title	84FiberSequencesAndTheLongExactSequence
8.5 the hopf fibration	8.5 The Hopf fibration	pm-title	85TheHopfFibration
8.5.1 fibrations over pushouts	8.5.1 Fibrations over pushouts	pm-title	851FibrationsOverPushouts
8.5.2 the hopf construction	8.5.2 The Hopf construction	pm-title	852TheHopfConstruction
8.5.3 the hopf fibration	8.5.3 The Hopf fibration	pm-title	853TheHopfFibration
8.6 the freudenthal suspension theorem	8.6 The Freudenthal suspension theorem	pm-title	86TheFreudenthalSuspensionTheorem
8.7 the van kampen theorem	8.7 The van Kampen theorem	pm-title	87TheVanKampenTheorem
8.7.1 naive van kampen	8.7.1 Naive van Kampen	pm-title	871NaiveVanKampen
8.7.2 the van kampen theorem with a set of basepoints	8.7.2 The van Kampen theorem with a set of basepoints	pm-title	872TheVanKampenTheoremWithASetOfBasepoints
8.8 whitehead’s theorem and whitehead’s principle	8.8 Whitehead’s theorem and Whitehead’s principle	pm-title	88WhiteheadsTheoremAndWhiteheadsPrinciple
8.9 a general statement of the encode-decode method	8.9 A general statement of the encode-decode method	pm-title	89AGeneralStatementOfTheEncodedecodeMethod
9-lemma	9-lemma	pm-title	9lemma
9. category theory	9. Category theory	pm-title	9CategoryTheory
9.1 categories and precategories	9.1 Categories and precategories	pm-title	91CategoriesAndPrecategories
9.2 functors and transformations	9.2 Functors and transformations	pm-title	92FunctorsAndTransformations
9.3 adjunctions	9.3 Adjunctions	pm-title	93Adjunctions
9.4 equivalences	9.4 Equivalences	pm-title	94Equivalences
9.5 the yoneda lemma	9.5 The Yoneda lemma	pm-title	95TheYonedaLemma
9.6 strict categories	9.6 Strict categories	pm-title	96StrictCategories
9.7 $\dagger$-categories	9.7 $\dagger$-categories	pm-title	97daggercategories
9.8 the structure identity principle	9.8 The structure identity principle	pm-title	98TheStructureIdentityPrinciple
9.9 the rezk completion	9.9 The Rezk completion	pm-title	99TheRezkCompletion
`generalized function'	`generalized function'	pm-synonym	Distribution
`geometry' of quantum spaces in terms of non-commutative algebras of functions and quantum operators	`Geometry' of quantum spaces in terms of non-commutative algebras of functions and quantum operators	pm-defines	NoncommutativeGeometry
a characterization of groups	a characterization of groups	pm-title	ACharacterizationOfGroups
a characterization of the radical of an ideal	a characterization of the radical of an ideal	pm-title	ACharacterizationOfTheRadicalOfAnIdeal
a closed subset of a complete metric space is complete	a closed subset of a complete metric space is complete	pm-title	AClosedSubsetOfACompleteMetricSpaceIsComplete
a compact metric space is second countable	a compact metric space is second countable	pm-title	ACompactMetricSpaceIsSecondCountable
a compact set in a hausdorff space is closed	a compact set in a Hausdorff space is closed	pm-title	ACompactSetInAHausdorffSpaceIsClosed
a complete subspace of a metric space is closed	a complete subspace of a metric space is closed	pm-title	ACompleteSubspaceOfAMetricSpaceIsClosed
a condition of algebraic extension	a condition of algebraic extension	pm-title	AConditionOfAlgebraicExtension
a connected and locally path connected space is path connected	a connected and locally path connected space is path connected	pm-title	AConnectedAndLocallyPathConnectedSpaceIsPathConnected
a connected normal space with more than one point is uncountable	a connected normal space with more than one point is uncountable	pm-title	AConnectedNormalSpaceWithMoreThanOnePointIsUncountable
a demonstration of different encryption methods on the same sample message	a demonstration of different encryption methods on the same sample message	pm-title	ADemonstrationOfDifferentEncryptionMethodsOnTheSameSampleMessage
a few complex multiplication tables	a few complex multiplication tables	pm-title	AFewComplexMultiplicationTables
a few examples of solutions to zn\'am's problem	a few examples of solutions to Zn\'am's problem	pm-title	AFewExamplesOfSolutionsToZnamsProblem
a field only has two ideals	a field only has two ideals	pm-synonym	CharacterizationOfField
a finite extension of fields is an algebraic extension	a finite extension of fields is an algebraic extension	pm-title	AFiniteExtensionOfFieldsIsAnAlgebraicExtension
a finite integral domain is a field	a finite integral domain is a field	pm-title	AFiniteIntegralDomainIsAField
a finite ring is cyclic if and only its order and characteristic are equal	a finite ring is cyclic if and only its order and characteristic are equal	pm-title	AFiniteRingIsCyclicIfAndOnlyItsOrderAndCharacteristicAreEqual
a finitely generated group has only finitely many subgroups of a given index	A finitely generated group has only finitely many subgroups of a given index	pm-title	AFinitelyGeneratedGroupHasOnlyFinitelyManySubgroupsOfAGivenIndex
a formula for amicable pairs	a formula for amicable pairs	pm-title	AFormulaForAmicablePairs
a fortiori	a fortiori	pm-defines	TermsFromForeignLanguagesUsedInMathematicshtmlVersion
a functor is an equivalence iff it is fully faithful and essentially surjective	a functor is an equivalence iff it is fully faithful and essentially surjective	pm-title	AFunctorIsAnEquivalenceIffItIsFullyFaithfulAndEssentiallySurjective
a group embeds into its profinite completion if and only if it is residually finite	a group embeds into its profinite completion if and only if it is residually finite	pm-title	AGroupEmbedsIntoItsProfiniteCompletionIfAndOnlyIfItIsResiduallyFinite
a group homomorphism is injective iff the kernel is trivial	a group homomorphism is injective iff the kernel is trivial	pm-title	AGroupHomomorphismIsInjectiveIffTheKernelIsTrivial
a group of even order contains an element of order 2	a group of even order contains an element of order 2	pm-title	AGroupOfEvenOrderContainsAnElementOfOrder2
a harmonic function on a graph which is bounded below and nonconstant	a harmonic function on a graph which is bounded below and nonconstant	pm-title	AHarmonicFunctionOnAGraphWhichIsBoundedBelowAndNonconstant
a k\"ahler manifold is symplectic	a K\"ahler manifold is symplectic	pm-title	AKahlerManifoldIsSymplectic
a lebesgue measurable but non-borel set	a Lebesgue measurable but non-Borel set	pm-title	ALebesgueMeasurableButNonBorelSet
a lecture on integration by parts	a lecture on integration by parts	pm-title	ALectureOnIntegrationByParts
a lecture on integration by substitution	a lecture on integration by substitution	pm-title	ALectureOnIntegrationBySubstitution
a lecture on the partial fraction decomposition method	a lecture on the partial fraction decomposition method	pm-title	ALectureOnThePartialFractionDecompositionMethod
a lecture on trigonometric integrals and trigonometric substitution	A lecture on trigonometric integrals and trigonometric substitution	pm-title	ALectureOnTrigonometricIntegralsAndTrigonometricSubstitution
a line segment has at most one midpoint	a line segment has at most one midpoint	pm-title	ALineSegmentHasAtMostOneMidpoint
a pathological function of riemann	a pathological function of Riemann	pm-title	APathologicalFunctionOfRiemann
a polynomial of degree $n$ over a field has at most $n$ roots	a polynomial of degree $n$ over a field has at most $n$ roots	pm-title	APolynomialOfDegreeNOverAFieldHasAtMostNRoots
a prime occurs in the euclid-mullin sequence no more than once	a prime occurs in the Euclid-Mullin sequence no more than once	pm-title	APrimeOccursInTheEuclidMullinSequenceNoMoreThanOnce
a priori	a priori	pm-defines	TermsFromForeignLanguagesUsedInMathematicshtmlVersion
a property of polynomials	A property of polynomials	pm-title	APropertyOfPolynomials
a property of truth-value semantics for intuitionistic propositional logic	a property of truth-value semantics for intuitionistic propositional logic	pm-title	APropertyOfTruthvalueSemanticsForIntuitionisticPropositionalLogic
a recalculation of set theory underlying categories. 	A recalculation of set theory underlying Categories. 	pm-title	ARecalculationOfSetTheoryUnderlyingCategories
a representation which is not completely reducible	a representation which is not completely reducible	pm-title	ARepresentationWhichIsNotCompletelyReducible
a ring modulo its jacobson radical is semiprimitive	a ring modulo its Jacobson radical is semiprimitive	pm-title	ARingModuloItsJacobsonRadicalIsSemiprimitive
a semilattice is a commutative band	a semilattice is a commutative band	pm-title	ASemilatticeIsACommutativeBand
a series related to harmonic series	a series related to harmonic series	pm-title	ASeriesRelatedToHarmonicSeries
a shorter proof: martin's axiom and the continuum hypothesis	a shorter proof: Martin's axiom and the continuum hypothesis	pm-title	AShorterProofMartinsAxiomAndTheContinuumHypothesis
a simple method for comparing real functions	a simple method for comparing real functions	pm-title	ASimpleMethodForComparingRealFunctions
a simple method for finding the roots of numbers	A simple method for finding the roots of numbers	pm-title	ASimpleMethodForFindingTheRootsOfNumbers
a space $\mathnormal{x	a space $\mathnormal{X	pm-title	ASpacemathnormalXIsHausdorffIfAndOnlyIfDeltaXIsClosed
a space is $t_1$ if and only if distinct points are separated	a space is $T_1$ if and only if distinct points are separated	pm-title	ASpaceIsT1IfAndOnlyIfDistinctPointsAreSeparated
a space is compact iff any family of closed sets having fip has non-empty intersection	a space is compact iff any family of closed sets having fip has non-empty intersection	pm-title	ASpaceIsCompactIffAnyFamilyOfClosedSetsHavingFipHasNonemptyIntersection
a space is connected under the ordered topology if and only if it is a linear continuum.	a space is connected under the ordered topology if and only if it is a linear continuum.	pm-title	ASpaceIsConnectedUnderTheOrderedTopologyIfAndOnlyIfItIsALinearContinuum
a space is t1 if and only if every singleton is closed	a space is T1 if and only if every singleton is closed	pm-title	ASpaceIsT1IfAndOnlyIfEverySingletonIsClosed
a space is t1 if and only if every subset a is the intersection of all open sets containing a	a space is T1 if and only if every subset A is the intersection of all open sets containing A	pm-title	ASpaceIsT1IfAndOnlyIfEverySubsetAIsTheIntersectionOfAllOpenSetsContainingA
a special case of partial integration	a special case of partial integration	pm-title	ASpecialCaseOfPartialIntegration
a subgroup of index 2 is normal	a subgroup of index 2 is normal	pm-title	ASubgroupOfIndex2IsNormal
a sufficient condition for convergence of integral	a sufficient condition for convergence of integral	pm-title	ASufficientConditionForConvergenceOfIntegral
a surjection between finite sets of the same cardinality is bijective	a surjection between finite sets of the same cardinality is bijective	pm-title	ASurjectionBetweenFiniteSetsOfTheSameCardinalityIsBijective
a weak ergodic theorem	a weak ergodic theorem	pm-synonym	FundamentalTheoremOfDemography
a- and b- dna paracrystals	A- and B- DNA paracrystals	pm-defines	MathematicalBiologyAndTheoreticalBiophysicsOfDNA
a-bound	A-bound	pm-defines	KatoRellichTheorem
a-bounded	A-bounded	pm-defines	KatoRellichTheorem
a. cohn's irreducibility criterion	A. Cohn's irreducibility criterion	pm-title	ACohnsIrreducibilityCriterion
a. formal type theory	A. Formal type theory	pm-title	AFormalTypeTheory
a. g. meyer	A. G. Meyer	pm-synonym	AnjaMeyer
a. j. c. cunningham	A. J. C. Cunningham	pm-synonym	AllanJosephChampneysCunningham
a.0 preliminaries	A.0 Preliminaries	pm-title	A0Preliminaries
a.1 the first presentation	A.1 The first presentation	pm-title	A1TheFirstPresentation
a.1.1 type universes	A.1.1 Type universes	pm-title	A11TypeUniverses
a.1.2 dependent function types ($\pi$-types)	A.1.2 Dependent function types ($\Pi$-types)	pm-title	A12DependentFunctionTypesPitypes
a.1.3 dependent pair types ($\sigma$-types)	A.1.3 Dependent pair types ($\Sigma$-types)	pm-title	A13DependentPairTypesSigmatypes
a.1.4 coproduct types	A.1.4 Coproduct types	pm-title	A14CoproductTypes
a.1.5 the finite types	A.1.5 The finite types	pm-title	A15TheFiniteTypes
a.1.6 natural numbers	A.1.6 Natural numbers	pm-title	A16NaturalNumbers
a.1.7 $w$-types	A.1.7 $W$-types	pm-title	A17Wtypes
a.1.8 identity types	A.1.8 Identity types	pm-title	A18IdentityTypes
a.2 the second presentation	A.2 The second presentation	pm-title	A2TheSecondPresentation
a.2.1 contexts	A.2.1 Contexts	pm-title	A21Contexts
a.2.10 identity types	A.2.10 Identity types	pm-title	A210IdentityTypes
a.2.11 definitions	A.2.11 Definitions	pm-title	A211Definitions
a.2.2 structural rules	A.2.2 Structural rules	pm-title	A22StructuralRules
a.2.3 type universes	A.2.3 Type universes	pm-title	A23TypeUniverses
a.2.4 dependent function types ($\pi$-types)	A.2.4 Dependent function types ($\Pi$-types)	pm-title	A24DependentFunctionTypesPitypes
