# control-sequence	role	source-binding
# Mined from LaTeXML 0.8.8 bindings (/usr/share/perl5/LaTeXML/Package)
# DefMath role=>/meaning=> declarations. Use: R14 lexeme classes +
# classification step 3 (standard math vocabulary with semantic roles).
bigboxleft	ADDOP	mathabx.sty
bigboxminus	ADDOP	mathabx.sty
bigboxplus	ADDOP	mathabx.sty
bigboxright	ADDOP	mathabx.sty
bigboxtimes	MULOP	mathabx.sty
bigboxtop	ADDOP	mathabx.sty
bigboxtriangleup	ADDOP	mathabx.sty
bigcap	SUMOP	TeX.pool
bigcirc	MULOP	TeX.pool
bigcomplementop	BIGOP	mathabx.sty
bigcup	SUMOP	TeX.pool
bigcurlyvee	SUMOP	stmaryrd.sty
bigcurlywedge	SUMOP	stmaryrd.sty
biginterleave	SUMOP	stmaryrd.sty
bignplus	ADDOP	stmaryrd.sty
bigoasterisk	MULOP	mathabx.sty
bigodiv	ADDOP	mathabx.sty
bigodot	SUMOP	TeX.pool
bigoleft	ADDOP	mathabx.sty
bigominus	ADDOP	mathabx.sty
bigoplus	SUMOP	TeX.pool
bigoright	ADDOP	mathabx.sty
bigoslash	MULOP	mathabx.sty
bigotimes	SUMOP	TeX.pool
bigotop	ADDOP	mathabx.sty
bigotriangleup	ADDOP	mathabx.sty
bigparallel	SUMOP	stmaryrd.sty
bigplus	BIGOP	mathabx.sty
bigsqcap	SUMOP	stmaryrd.sty
bigsqcup	SUMOP	TeX.pool
bigstar	MULOP	mathabx.sty
bigtimes	MULOP	mathtools.sty
bigtriangledown	SUMOP	stmaryrd.sty
bigtriangleup	SUMOP	stmaryrd.sty
biguplus	SUMOP	TeX.pool
bigvarstar	MULOP	mathabx.sty
bigvee	SUMOP	TeX.pool
bigwedge	SUMOP	TeX.pool
binampersand	RELOP	stmaryrd.sty
bindnasrepma	RELOP	stmaryrd.sty
binom	MEANING:binomial	amsmath.sty
blackdiamond	MULOP	mathabx.sty
blacktriangledown	RELOP	mathabx.sty
blacktriangleleft	RELOP	amssymb.sty
blacktriangleright	RELOP	amssymb.sty
blacktriangleup	RELOP	mathabx.sty
bmod	MODIFIEROP	TeX.pool
bot	ADDOP	TeX.pool
botdoteq	RELOP	mathabx.sty
bowtie	RELOP	TeX.pool
boxLeft	RELOP	txfonts.sty
boxRight	RELOP	txfonts.sty
boxast	BINOP	stmaryrd.sty
boxbar	RELOP	stmaryrd.sty
boxbot	ADDOP	mathabx.sty
boxbox	BINOP	stmaryrd.sty
boxbslash	BINOP	stmaryrd.sty
boxcirc	ADDOP	mathabx.sty
boxcircle	BINOP	stmaryrd.sty
